
Frequency	# of Samples Observed In
b4faed184be62bcac2eafc50cc417836	196	1
cdc07458d0c66570a7de7ca60e158d2b	194	1
f1f4ce56eaaa7c509826781adb43be9f	193	1
70dc9b81ba50b41481bfb06be55aad56	192	2
2835d931343dfcb98e48e7b2d3ed90d8	190	4
d9f341b39fdad4f9753f62db4c4cfbec	189	1
53ad0791892710061cdff1344539114b	188	2
36076a2d349afd3cea58dded12a5f325	187	1
ca76dd3a6e5369b9201bad7895ae32d5	186	1
167af9588379e8dc2819ce4a6ff66556	186	1
3f4f84655fa3cb6d4df9484d6b74b558	183	1
18752471c70d3f2c8f226a71bcda2af3	182	2
762bcbbf66557cc640c923473f128cc3	182	1
45ef5201b7762f046fd630afef2388a5	181	1
5ea2a1ee80d6252ff661c3b5964ce875	180	1
2888e322f198dfdfe1ce0c225d66401c	180	1
5ff5cdc3b996e0602fd0cc20e5cf30f4	180	4
fde055fac063c4edef1d0a8deb6cd2f7	178	1
640f2732108aa4b7100a39956001d806	178	1
567dfd4a814f3970a10c5ec3999a9440	176	1
a9c52f11d0090649a021e0e53433998d	175	1
dca59342337352fc1c92fff6a198c838	174	1
1366ed60ceb463d1b09edd187c6a2c2e	174	1
14ff84d4c69c6c5c322bb503204cc3b8	173	3
2530f1f18baf133a9624371a83d8e3ab	171	1
842f93b5b1846b3995fddbcf5dd1af23	169	1
c455e94b7e57d324a644027374e046d0	168	1
56e8eeda1c491e1ad3bb9a28b8fd9d88	167	1
c7ab1ae0c2bfdda3a7149b7a13f310df	166	1
faea869f19dd9768a587fdc6d6402470	165	1
d9873ebc1cf280f1eb950585a3e27a87	165	1
dc09275f906eb31287030a99b08946ac	165	1
1452d6a8373d38a9098fe879b8f90728	164	1
f9feb8e560d0d2d871f62997eb8b62ab	164	1
9de3c24c984c6fe6730a5a81b858e0ab	163	1
f943890c58943514ffd87a8f53de25a8	162	1
0f8c42eabc13e409a5d48532fad72ca6	162	1
1def8e77eaa54541d58414962c905159	161	1
7f1776dbea9022a62baad4c0acacf2c3	160	1
f9e19f8f848a8e8b3cc07e26796b4ddc	160	1
fca028ebead2e004d456faad373d3ff7	160	1
cb585370fe6b1b54aea1f9d109f466be	159	1
9cd3953bda8a6c757680fc406ad4d9a9	159	1
a1ab8f628f3fdeae6c5f9ca3a5443abc	159	1
d11ab137d87a1bc41b81ac551e22c90e	159	1
008613721d2e2b5d38605e486950b366	159	1
01040a4a0e7d41430769be001d2eced8	158	1
3861a0053674c8d806da8d54f7ec0be7	157	1
9a48c6b54c57d56c5ee402d77d56767b	157	1
d8f3408b6cdbd091678d5cc824a304fd	156	1
afc293cf18a2aa35589878b67e18b15f	156	1
a212d273c11790840f1e736b7f6a2979	156	1
